127.0.0.1 - - [02/Jul/2016:08:56:56 -0500] "GET /ProyectoAnsa/css/reset.css HTTP/1.1" 404 1056
127.0.0.1 - - [02/Jul/2016:08:56:57 -0500] "GET /ProyectoAnsa/css/websymbols/websymbols-regular-webfont.ttf HTTP/1.1" 404 1120
127.0.0.1 - - [02/Jul/2016:08:56:58 -0500] "GET /ProyectoAnsa/menuUs.jsp HTTP/1.1" 200 5243
127.0.0.1 - - [02/Jul/2016:08:57:00 -0500] "GET /ProyectoAnsa/struts/js/base/jquery-1.10.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:00 -0500] "GET /ProyectoAnsa/struts/js/base/jquery.ui.core.min.js?s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:00 -0500] "GET /ProyectoAnsa/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:00 -0500] "GET /ProyectoAnsa/css/estilos.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:00 -0500] "GET /ProyectoAnsa/css/style9.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:00 -0500] "GET /ProyectoAnsa/struts/themes/trontastic/jquery-ui.css?s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:00 -0500] "GET /ProyectoAnsa/css/demo.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:00 -0500] "GET /ProyectoAnsa/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:00 -0500] "GET /ProyectoAnsa/css/reset.css HTTP/1.1" 404 1056
127.0.0.1 - - [02/Jul/2016:08:57:01 -0500] "GET /ProyectoAnsa/imagenes/f.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:01 -0500] "GET /ProyectoAnsa/css/websymbols/websymbols-regular-webfont.woff HTTP/1.1" 404 1122
127.0.0.1 - - [02/Jul/2016:08:57:01 -0500] "GET /ProyectoAnsa/struts/js/struts2/jquery.ui.struts2.min.js?s2j=3.7.0&s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:01 -0500] "GET /ProyectoAnsa/struts/js/base/jquery.ui.widget.min.js?s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:01 -0500] "GET /ProyectoAnsa/struts/js/base/jquery.ui.button.min.js?s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:01 -0500] "GET /ProyectoAnsa/struts/js/base/jquery.ui.mouse.min.js?s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:01 -0500] "GET /ProyectoAnsa/struts/js/base/jquery.ui.position.min.js?s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:01 -0500] "GET /ProyectoAnsa/struts/js/base/jquery.ui.dialog.min.js?s2j=3.7.0 HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:57:02 -0500] "GET /ProyectoAnsa/css/websymbols/websymbols-regular-webfont.ttf HTTP/1.1" 404 1120
127.0.0.1 - - [02/Jul/2016:08:57:02 -0500] "GET /ProyectoAnsa/imagenes/rodr-saav.jpeg HTTP/1.1" 200 907
127.0.0.1 - - [02/Jul/2016:08:57:04 -0500] "GET /ProyectoAnsa/cargaMantemientoClienteXML HTTP/1.1" 200 9573
127.0.0.1 - - [02/Jul/2016:08:58:00 -0500] "GET /ProyectoAnsa/menuUs.jsp HTTP/1.1" 200 5257
127.0.0.1 - - [02/Jul/2016:08:58:01 -0500] "GET /ProyectoAnsa/css/estilos.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:58:01 -0500] "GET /ProyectoAnsa/struts/js/base/jquery-1.10.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2016:08:58:01 -0500] "GET /ProyectoAnsa/struts/js/base/jquery.ui.core.min.js?s2j=3.7.0 HTTP/1.1" 304 -
